Local authority code,Local authority name,MSOA code,MSOA name,"Table 1a - Median price paid by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1b - Median price paid for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1c - Median price paid for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1d - Median price paid for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1e - Median price paid for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2a - Median price paid (newly built dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2b - Median price paid (newly built dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2c - Median price paid (newly built dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2d - Median price paid (newly built dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2e - Median price paid (newly built dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3a - Median price paid (existing dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3b - Median price paid (existing dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3c - Median price paid (existing dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3d - Median price paid (existing dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3e - Median price paid (existing dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025"
E06000059,Dorset,E02004265,"Wareham, Sandford & Holton Heath",10.42168162895415,13.45189884172071,10.195123332672539,8.779133980912464,6.088754212568322,,,,,,10.42168162895415,13.45189884172071,10.195123332672539,8.779133980912464,6.088754212568322
E06000059,Dorset,E02004266,"Bovington, Wool & Lulworth",9.770326527144515,12.460706295488658,9.345529721616494,8.212738240208434,,,,,,,9.770326527144515,12.460706295488658,9.345529721616494,8.212738240208434,
E06000059,Dorset,E02004267,Corfe Castle & Langton Matravers,13.310299906544703,19.257455183937015,11.469513749256606,11.044716943728583,,,,,,,13.310299906544703,19.257455183937015,11.469513749256606,11.044716943728583,
E06000059,Dorset,E02004268,Swanage,9.910509472968764,17.161790943332107,10.053524397496531,9.770326527144515,7.227209651383421,10.041856645238028,,,,,9.910509472968764,17.374189346096117,9.911925462320523,9.770326527144515,7.221545693976381
E06000059,Dorset,E02004269,Sherborne,9.232250573475687,16.70867435076888,8.495936110560448,7.476423777293195,5.0975616663362695,,,,,,9.232250573475687,16.70867435076888,8.495936110560448,7.476423777293195,5.0975616663362695
E06000059,Dorset,E02004270,"Yetminster, Bradford Abbas & Longburton",11.257115346492593,13.678627056724533,8.779133980912464,6.881708249553963,,,,,,,11.257115346492593,13.678627056724533,8.779133980912464,6.881708249553963,
E06000059,Dorset,E02004271,"Beaminster, Maiden Newton & Halstock",9.911925462320523,13.381099374132706,8.779133980912464,7.646342499504404,3.6107728469881906,,,,,,9.911925462320523,13.381099374132706,8.779133980912464,7.646342499504404,3.6107728469881906
E06000059,Dorset,E02004272,"Charlton Down, Cerne Abbas & Puddletown",9.911925462320523,14.697969471269577,9.345529721616494,8.849933448500467,5.593157939452295,14.924527767551188,,,,,9.773866500523916,14.697969471269577,9.345529721616494,8.849933448500467,5.593157939452295
E06000059,Dorset,E02004273,"Lyme Regis, Charmouth & Marshwood Vale",15.590042762878424,17.841465832176944,10.690719605788564,10.372122001642548,8.212738240208434,,,,,,15.590042762878424,17.841465832176944,10.690719605788564,10.372122001642548,8.212738240208434
E06000059,Dorset,E02004274,Bridport North,8.566735578148453,13.310299906544703,9.487128656792502,8.071139305032426,4.601965393220243,,,,,,8.566735578148453,13.310299906544703,9.487128656792502,8.071139305032426,4.601965393220243
